drive_id,name,path,md5,modified_time,size,timestamp,action
1qmJr0x_cqWNKoZZeLWDOQGfiPSCgzZqz,GEAR.SLDPRT,Claw\Old Claw\GEAR.SLDPRT,b8a19a5a9a392bc83e89d9058b8fc2fc,1761428908.0,1210648,1761428954,download_new
1RxVRj4ob1qARm0Fy_lAv-Fo6dDcAEhda,Gearbox Standoff.SLDPRT,Claw\Old Claw\Gearbox Standoff.SLDPRT,971c1847ba25a09e393dc6bd17b9732b,1761428908.0,46485,1761428954,download_new
1_poJwsgw6osSN2FBbbOJP2zFPI3MpPll,GearboxAssembly.SLDASM,Claw\Old Claw\GearboxAssembly.SLDASM,5cf9b3464c6223375c603b488823828d,1761428909.0,1539096,1761428954,download_new
1cEnDQDLdXF60KCAZ43H9T7iw4lGY4fIl,GEAR.STEP,Claw\Old Claw\GEAR.STEP,d9b637ddbb6236484e0decd3cd7a2e81,1761428909.0,2992733,1761428954,download_new
1ETuqouHR9e_etOqqnDrMbha0Oyg-2exo,GearboxPlate.SLDPRT,Claw\Old Claw\GearboxPlate.SLDPRT,66e58fc32cf8e860cb0197c5d3f154bd,1761428909.0,285614,1761428955,download_new
19Ye_Bd9MttaVFLsmsy9Nv6PhGDJHQ5FS,GearboxPlateNonMotorSide.SLDPRT,Claw\Old Claw\GearboxPlateNonMotorSide.SLDPRT,960dadb5b2da8d08c944cb495e33520b,1761428909.0,97588,1761428955,download_new
1I2WdzeeLaiEu4NxSnFQxsXJoXL0VvGxq,GearboxPlates3DP.STL,Claw\Old Claw\GearboxPlates3DP.STL,30eb0e5c476c6a95ef438fc465b5ad32,1761428909.0,224984,1761428955,download_new
1Ys4uzv5TIpYa_c7MHP5noEoqoOdkTX7V,GearboxSpace4r.SLDPRT,Claw\Old Claw\GearboxSpace4r.SLDPRT,5a0ec8fbace7fd1d6b82beb22405ee38,1761428910.0,88353,1761428955,download_new
1QINXzBRpAwrx9jaNb1op4QYP4sxNtPVG,GearboxSpaceer3DP.STL,Claw\Old Claw\GearboxSpaceer3DP.STL,84b726c1e0384786cfdcf4e409ad7717,1761428911.0,21684,1761428955,download_new
1rUUwWANPtj2WFO-BkwOVvZlbzV0_1ADq,GearboxPlates3DPV2.STL,Claw\Old Claw\GearboxPlates3DPV2.STL,39350b6b8203ba93bee8fd8e46b36bd3,1761428909.0,310084,1761428956,download_new
1GhZDoyQF0ilNEdjkB8CWqT4vBJa-6oXI,GearboxSpacer3DPThick.STL,Claw\Old Claw\GearboxSpacer3DPThick.STL,c89b0b3cbc8877f8d1f8e52cf6eb1203,1761428911.0,21284,1761428956,download_new
19IpQhpoCkN6afscOWaJUJijwqb2GxrtB,GearboxSpacer3DPV2.STL,Claw\Old Claw\GearboxSpacer3DPV2.STL,30e5c279ad9148f80548b0cd9847527e,1761428911.0,21684,1761428956,download_new
1ulqDZB6whjweunOudax4PMD9OrsIqWxS,GearboxSpacerThicker.SLDPRT,Claw\Old Claw\GearboxSpacerThicker.SLDPRT,fc1964b244e5b9511b0452126a31addc,1761428911.0,90999,1761428957,download_new
1ksDja-CxeikzGsbDySwqYLf5MUtyS-mW,L-Bracket.SLDPRT,Claw\Old Claw\L-Bracket.SLDPRT,16fc927e2cfa56d5bc1de3eaf1e99df7,1761428911.0,42938,1761428957,download_new
1HdybBmRo5j3kiciyThxxPJDKq5W7f0zU,Motor Block.SLDBLK,Claw\Old Claw\Motor Block.SLDBLK,20a2eeaa00a4c921a76de80f4caf3939,1761428911.0,29365,1761428957,download_new
1Iip6qB6N5k6iF-_g0LJEAPP-QhjKSqKn,LBRACKET.SLDPRT,Claw\Old Claw\LBRACKET.SLDPRT,e17767bd59ef3fda712b1f4024ca8924,1761428911.0,132626,1761428957,download_new
1iXyKSdf4EOP0HegNGgBw0qA6o_VwHRhn,Motor Casing.SLDPRT,Claw\Old Claw\Motor Casing.SLDPRT,5d33909f64f3648fdea0f08fe4db04f7,1761428911.0,313920,1761428957,download_new
1zRnVRrH_E9ZsemFi55WDW27-JfR1d4XE,New Claw 3DP V2.STL,Claw\Old Claw\New Claw 3DP V2.STL,ca16b11d69642afd38e64a6f6712da3a,1761428912.0,28284,1761428958,download_new
1abcV3dEJ5uQfkN6MZnDA3dCyYbxFifHo,New Claw Mirror 3DP V2.STL,Claw\Old Claw\New Claw Mirror 3DP V2.STL,e110d81367b4370777509b4f28789719,1761428912.0,28284,1761428958,download_new
